@relation lomfelder

@attribute identificador numeric
@attribute sensitivo numeric
@attribute intuitivo numeric
@attribute ativo numeric
@attribute reflexivo numeric
@attribute sequencial numeric
@attribute global numeric
@attribute visual numeric
@attribute verbal numeric
@attribute class 	{SenAtiSeqVis,SenAtiSeqVer,SenAtiGloVis,SenAtiGloVer,SenRefSeqVis,SenRefSeqVer,SenRefGloVis,SenRefGloVer,IntAtiSeqVis,IntAtiSeqVer,IntAtiGloVis,IntAtiGloVer,IntRefSeqVis,IntRefSeqVer,IntRefGloVis,IntRefGloVer}

@data
41,1,0,2,3,0,1,1,2,SenRefGloVer
42,2,0,2,4,1,1,1,0,SenRefGloVis
43,0,1,2,0,2,0,2,1,IntAtiSeqVis
44,2,0,4,1,2,0,2,1,SenAtiSeqVis
45,2,0,3,3,0,0,2,1,SenRefGloVis
46,1,1,0,0,1,1,1,0,SenAtiSeqVis
47,1,1,1,3,1,0,0,1,IntRefSeqVer
48,0,1,3,1,1,1,2,0,IntAtiGloVis
49,2,0,0,0,0,1,1,1,SenAtiGloVis
50,1,0,1,3,1,0,1,1,SenRefSeqVis
51,0,0,3,1,2,0,1,0,IntAtiSeqVis
52,1,1,3,3,1,0,1,2,SenAtiSeqVer
53,1,1,3,3,0,0,1,0,SenAtiSeqVis
54,2,0,0,3,0,0,2,0,SenRefGloVis
55,0,1,0,4,0,1,1,0,IntRefGloVis
56,1,1,4,1,0,0,0,0,SenAtiSeqVis
57,1,1,0,2,0,1,0,2,SenRefGloVer
58,2,0,4,0,1,1,2,1,SenAtiGloVis
59,0,1,4,0,0,0,1,2,IntAtiGloVer
60,1,0,0,0,2,0,1,2,SenRefSeqVer
61,0,0,0,3,1,1,2,0,IntRefGloVis
62,0,0,1,2,1,1,2,1,IntRefGloVis
63,1,1,0,3,0,1,2,0,SenRefGloVis
64,1,0,2,1,1,1,2,1,SenAtiSeqVis
65,1,1,2,0,2,0,2,0,IntAtiSeqVis
66,2,0,0,2,0,1,2,0,SenRefGloVis
67,0,1,1,3,0,1,2,1,IntRefGloVis
68,0,1,2,3,0,1,1,0,IntRefGloVis
69,0,0,3,0,0,1,2,1,SenAtiGloVis
70,2,0,4,0,0,0,1,1,SenAtiSeqVis
71,2,0,0,4,0,1,2,0,SenRefGloVis
72,0,1,4,1,2,0,0,1,IntAtiSeqVer
73,2,0,0,3,1,0,1,1,SenRefSeqVis
74,0,1,2,1,2,0,1,1,IntAtiSeqVer
75,1,1,4,2,1,1,0,1,SenAtiSeqVer
76,1,1,3,2,0,1,2,1,IntAtiGloVis
77,0,1,1,3,1,0,2,1,IntRefSeqVis
78,0,1,1,0,0,1,2,0,IntAtiGloVis
79,0,1,3,3,1,1,1,0,IntAtiSeqVis
80,0,1,1,1,0,0,1,2,IntRefGloVer
81,1,1,2,4,0,1,0,0,IntRefGloVer
82,1,0,2,2,0,0,1,2,SenAtiSeqVer
83,2,0,0,1,0,0,0,2,SenRefGloVer
84,2,0,4,1,0,1,2,1,SenAtiGloVis
85,0,1,0,4,0,1,2,1,IntRefGloVis
86,1,0,4,1,0,0,0,2,SenAtiSeqVer
87,2,0,4,2,0,1,1,0,SenAtiGloVis
88,0,0,1,3,0,0,1,1,SenRefSeqVis
89,1,1,1,4,0,1,0,0,SenRefGloVis
90,0,1,4,2,0,1,1,1,IntAtiGloVer
91,1,1,1,3,0,1,2,0,IntRefGloVis
92,0,1,1,1,1,0,2,0,IntRefSeqVis
93,1,0,3,3,1,0,0,2,SenRefSeqVer
94,0,1,1,0,0,1,1,2,IntAtiGloVer
95,0,1,4,0,1,0,2,1,IntAtiSeqVis
96,0,0,4,2,0,1,2,1,IntAtiGloVis
97,0,1,4,0,1,1,1,1,IntAtiSeqVis
98,0,1,0,2,0,1,1,1,IntRefGloVis
99,1,0,4,0,2,0,1,1,SenAtiSeqVer
100,1,1,1,1,1,1,1,0,IntRefGloVis
101,0,1,3,1,2,0,2,0,IntAtiSeqVis
102,1,0,2,4,1,1,1,0,SenRefGloVis
103,0,1,4,1,0,0,2,1,IntAtiGloVis
104,0,1,0,4,0,1,0,0,IntRefGloVer
105,0,0,2,4,0,0,2,0,SenRefSeqVis
106,1,1,4,1,0,0,1,2,SenAtiSeqVer
107,0,1,0,2,2,0,2,0,IntRefSeqVis
108,1,1,3,0,1,1,0,2,IntAtiGloVer
109,0,0,3,3,1,0,2,1,SenAtiSeqVis
110,0,1,1,3,0,1,1,1,IntRefGloVis
111,0,1,4,2,1,0,2,0,IntAtiSeqVis
112,1,0,2,0,0,1,1,2,SenAtiGloVer
113,0,0,0,2,1,1,1,2,IntRefGloVer
114,0,0,1,1,1,1,1,2,SenAtiSeqVer
115,2,0,2,4,2,0,0,1,SenRefSeqVer
116,0,0,4,2,0,1,0,1,SenAtiGloVer
117,0,1,4,0,0,0,2,1,IntAtiGloVis
118,0,1,3,0,0,0,2,0,IntAtiGloVis
119,0,1,0,2,2,0,2,1,IntRefSeqVis
120,0,1,4,2,1,0,0,0,IntAtiSeqVer
121,0,1,2,3,1,0,0,2,IntRefSeqVer
122,0,0,3,2,2,0,1,1,SenAtiSeqVis
123,0,1,2,3,1,1,0,1,IntRefGloVer
124,2,0,3,2,0,1,2,0,SenAtiGloVis
125,0,1,3,0,1,1,0,2,IntAtiSeqVer
126,0,1,0,2,0,0,2,1,IntRefSeqVis
127,1,0,4,1,1,0,2,1,SenAtiSeqVis
128,1,1,2,0,1,0,2,1,SenAtiSeqVis
129,1,0,0,4,0,1,2,1,SenRefGloVis
130,1,1,1,0,0,0,2,1,SenAtiSeqVis
131,1,1,0,2,2,0,1,0,SenRefSeqVis
132,0,1,1,0,1,1,0,0,IntAtiGloVer
133,0,1,0,2,0,1,2,0,IntRefGloVis
134,1,1,3,3,2,0,0,1,IntRefSeqVer
135,0,0,1,0,1,1,2,1,IntAtiGloVis
136,1,1,3,0,0,0,0,0,IntAtiGloVer
137,1,0,4,1,0,1,1,0,SenAtiGloVis
138,2,0,3,3,2,0,0,1,SenAtiSeqVer
139,1,0,2,0,2,0,2,0,SenAtiSeqVis
140,1,0,4,0,0,1,0,2,SenAtiGloVer
141,1,0,1,1,1,1,0,1,SenAtiSeqVer
142,1,0,4,0,1,1,0,1,SenAtiGloVer
143,0,1,1,4,1,1,0,0,IntRefSeqVis
144,0,0,3,0,0,1,0,1,IntAtiGloVer
145,1,0,2,0,1,1,0,2,SenAtiSeqVer
146,0,1,4,1,2,0,2,1,IntAtiSeqVis
147,0,1,4,1,1,0,1,1,IntAtiSeqVis
148,1,1,4,0,0,1,0,1,SenAtiGloVer
149,0,1,3,3,1,1,1,1,IntAtiSeqVis
150,1,1,4,0,0,0,0,1,IntAtiGloVer
151,0,1,3,3,1,1,1,0,IntRefGloVis
152,0,1,4,0,1,1,0,2,IntAtiGloVer
153,1,0,4,2,2,0,0,1,SenAtiSeqVer
154,0,0,0,1,0,1,1,0,IntRefGloVis
155,0,0,3,2,0,1,2,0,SenAtiGloVis
156,1,1,4,1,0,0,0,1,IntAtiGloVer
157,2,0,0,2,2,0,0,2,SenRefSeqVer
158,1,1,2,1,0,1,1,0,IntAtiGloVis
159,0,1,2,1,0,1,0,0,IntAtiGloVis
160,0,1,2,0,1,1,1,1,IntAtiSeqVis
161,1,1,0,4,0,0,1,1,IntRefGloVer
162,0,1,1,0,1,1,0,1,IntAtiSeqVer
163,0,0,2,1,1,1,1,0,IntAtiGloVis
164,1,1,2,1,2,0,1,1,SenAtiSeqVis
165,1,1,0,4,1,0,0,0,IntRefSeqVer
166,0,0,1,2,0,0,1,0,IntRefGloVis
167,1,1,2,2,1,1,0,1,IntRefGloVer
168,1,0,2,1,0,0,2,1,SenAtiSeqVis
169,0,1,0,0,0,1,0,0,IntAtiGloVis
170,1,1,4,0,0,0,0,2,IntAtiGloVer
171,2,0,2,3,0,0,1,1,SenRefGloVer
172,1,0,2,4,1,1,1,0,SenRefSeqVis
173,0,1,0,2,0,1,2,1,IntRefGloVis
174,1,1,4,2,0,1,2,0,IntAtiGloVis
175,0,1,1,0,1,0,0,1,IntAtiSeqVer
176,1,1,0,1,1,0,0,2,SenRefSeqVer
177,2,0,2,0,1,1,1,0,SenAtiGloVis
178,0,1,1,0,1,1,2,0,IntAtiGloVis
179,0,0,0,1,2,0,1,1,SenRefSeqVis
180,2,0,1,2,1,1,0,2,SenRefGloVer
181,0,1,4,2,1,0,0,2,IntAtiSeqVer
182,0,0,0,0,1,1,0,0,IntRefGloVer
183,1,0,3,0,1,1,2,0,SenAtiGloVis
184,0,1,0,3,1,0,1,0,IntRefSeqVis
185,0,1,2,4,0,1,1,2,IntRefGloVer
186,1,1,0,0,1,0,1,1,SenAtiSeqVis
187,1,0,1,1,0,0,2,0,SenRefGloVis
188,1,1,1,0,1,1,2,0,IntAtiGloVis
189,0,1,1,3,0,0,2,1,IntRefGloVis
190,0,1,3,0,1,1,1,1,IntAtiSeqVis
191,1,0,3,1,1,0,1,2,SenAtiSeqVer
192,0,1,4,2,0,0,1,2,IntAtiGloVer
193,0,1,1,4,0,1,0,2,IntRefGloVer
194,1,0,1,3,0,0,1,1,SenRefGloVer
195,1,0,2,1,1,1,1,1,SenAtiGloVer
196,0,0,2,4,2,0,2,0,IntRefSeqVis
197,2,0,4,0,1,1,0,1,SenAtiSeqVer
198,0,1,1,4,0,1,2,0,IntRefGloVis
199,1,1,3,3,0,0,0,2,SenAtiSeqVer
200,1,1,3,1,0,1,1,1,IntAtiGloVer
201,1,1,2,0,0,0,1,2,SenAtiSeqVer
202,1,0,0,4,0,1,0,0,SenRefGloVer
203,0,1,0,3,1,0,2,1,IntRefSeqVis
204,0,0,2,1,2,0,0,0,IntAtiSeqVer
205,0,1,3,0,1,1,2,1,IntAtiGloVis
206,0,1,4,2,1,1,0,2,IntAtiSeqVer
207,0,1,0,1,0,0,2,1,IntRefSeqVis
208,1,0,3,1,0,1,1,2,SenAtiGloVer
209,0,0,0,3,0,1,0,2,IntRefGloVer
210,0,1,3,0,0,1,0,1,IntAtiGloVer
211,2,0,4,0,1,1,2,1,SenAtiGloVis
212,0,1,0,0,2,0,1,0,IntRefSeqVis
213,1,0,3,0,0,1,0,2,SenAtiGloVer
214,0,0,4,0,0,1,0,0,IntAtiGloVer
215,0,1,2,3,0,1,1,0,IntRefGloVis
216,1,0,2,1,0,1,0,1,SenAtiGloVer
217,0,0,1,1,1,1,1,2,IntRefGloVer
218,2,0,4,2,0,0,1,0,SenAtiSeqVis
219,1,0,2,4,2,0,0,1,SenRefSeqVer
220,1,0,2,4,1,0,2,1,SenRefSeqVis
221,0,0,4,1,1,1,0,1,IntAtiGloVer
222,0,0,1,1,0,1,2,0,SenAtiGloVis
223,1,0,0,1,1,1,1,2,SenRefGloVer
224,0,0,0,2,1,1,2,0,SenRefSeqVis
225,0,0,2,1,0,0,1,0,IntAtiGloVis
226,1,1,0,4,1,1,1,1,IntRefGloVer
227,2,0,0,3,1,0,1,2,SenRefSeqVer
228,1,1,4,2,1,1,0,2,SenAtiSeqVer
229,2,0,0,2,0,1,0,0,SenRefGloVer
230,0,0,0,0,1,1,1,2,SenAtiSeqVer
231,0,0,2,2,1,0,0,0,SenAtiSeqVis
232,0,0,1,4,0,1,1,0,IntRefGloVis
233,1,1,1,1,1,0,2,1,IntRefSeqVis
234,2,0,4,1,0,0,2,0,SenAtiSeqVis
235,1,0,0,2,0,0,2,0,SenRefSeqVis
236,0,1,1,1,2,0,2,0,IntRefSeqVis
237,1,0,1,1,1,1,0,2,SenRefGloVer
238,1,0,2,1,0,0,0,2,SenAtiGloVer
239,0,0,2,4,2,0,0,1,IntRefSeqVer
240,0,1,2,1,0,0,1,2,IntAtiSeqVer
241,0,0,2,3,1,1,0,2,IntRefGloVer
242,2,0,1,0,0,1,1,0,SenAtiGloVis
243,1,0,2,3,1,1,0,0,SenRefGloVer
244,0,0,1,2,1,1,0,2,SenRefSeqVer
245,1,1,1,1,1,0,2,1,IntRefSeqVis
246,0,0,2,1,1,0,0,1,IntAtiSeqVer
247,2,0,1,1,1,0,2,1,SenAtiSeqVis
248,0,0,1,0,1,1,2,0,IntAtiGloVis
249,0,1,1,2,0,1,2,1,IntRefGloVis
250,1,1,4,0,2,0,0,1,SenAtiSeqVer
251,2,0,0,4,1,1,1,1,SenRefGloVer
252,1,0,1,2,0,0,0,0,SenRefSeqVis
253,1,0,3,1,0,1,0,1,SenAtiGloVer
254,2,0,0,1,1,1,1,2,SenRefGloVer
255,2,0,2,3,0,1,0,1,SenRefGloVer
256,1,0,0,1,0,0,0,0,SenRefSeqVis
257,1,1,3,2,0,0,2,1,SenAtiSeqVis
258,0,0,0,2,1,1,1,2,SenRefSeqVer
259,1,0,1,1,1,1,0,0,SenRefGloVer
260,2,0,4,2,1,0,2,1,SenAtiSeqVis
261,0,1,2,0,0,1,0,1,IntAtiGloVer
262,0,1,4,1,2,0,0,2,IntAtiSeqVer
263,1,1,4,1,1,0,0,0,SenAtiSeqVis
264,0,1,0,3,0,0,2,0,IntRefGloVis
265,1,0,0,2,0,1,2,0,SenRefGloVis
266,1,1,0,4,0,1,0,0,SenRefGloVis
267,1,0,1,0,2,0,2,0,SenAtiSeqVis
268,1,1,3,3,0,1,0,1,SenAtiGloVer
269,1,1,3,3,0,1,0,0,IntRefGloVer
270,1,0,2,0,0,1,0,1,SenAtiGloVer
271,1,0,4,1,1,1,1,0,SenAtiGloVis
272,2,0,2,0,0,1,1,2,SenAtiGloVer
273,1,0,0,0,0,1,0,0,SenAtiGloVis
274,1,1,3,2,0,1,1,1,SenAtiGloVis
275,0,1,4,1,1,1,0,2,IntAtiSeqVer
276,1,1,3,3,0,1,1,2,SenAtiGloVer
277,1,0,0,3,1,0,0,1,SenRefSeqVer
278,1,1,2,2,0,1,2,1,IntRefGloVis
279,1,1,1,1,0,1,2,1,IntRefGloVis
280,0,0,1,0,1,0,1,0,IntAtiSeqVis
281,1,1,1,0,1,1,0,1,SenAtiSeqVer
282,1,0,0,3,2,0,1,2,SenRefSeqVer
283,1,0,0,0,0,0,1,1,SenAtiSeqVis
284,1,1,4,1,1,1,0,1,SenAtiSeqVer
285,1,1,4,1,1,1,1,0,SenAtiSeqVis
286,1,1,2,1,2,0,1,2,IntAtiSeqVer
287,2,0,1,2,1,1,2,0,SenRefGloVis
288,2,0,0,4,0,0,1,1,SenRefGloVer
289,1,1,1,0,1,0,1,0,IntAtiSeqVis
290,0,0,0,1,0,0,0,0,SenRefSeqVis
291,2,0,0,3,1,1,1,2,SenRefGloVer
292,0,0,4,1,0,0,0,1,SenAtiSeqVer
293,2,0,1,3,1,1,2,0,SenRefGloVis
294,2,0,0,1,0,0,1,2,SenRefSeqVer
295,0,0,3,2,1,1,1,0,IntAtiGloVis
296,0,1,2,3,1,1,2,1,IntRefGloVis
297,0,1,3,2,1,1,2,0,IntAtiGloVis
298,0,1,1,4,0,0,0,2,IntRefSeqVer
299,1,1,3,3,0,1,2,0,IntRefGloVis
300,0,0,0,2,1,1,2,1,IntRefGloVis
301,1,0,3,0,1,0,1,2,SenAtiSeqVer
302,1,0,1,4,1,0,0,0,SenRefSeqVis
303,1,0,4,0,1,1,1,0,SenAtiGloVis
304,0,1,1,2,1,1,2,1,IntRefGloVis
305,2,0,2,1,1,0,1,0,SenAtiSeqVis
306,0,1,0,3,1,1,2,0,IntRefSeqVis
307,1,1,3,3,1,1,1,0,IntRefGloVis
308,1,0,2,1,2,0,0,1,SenAtiSeqVer
309,0,1,3,0,1,1,0,2,IntAtiGloVer
310,0,1,1,4,1,1,2,0,IntRefGloVis
311,1,0,2,2,0,1,1,1,SenRefGloVer
312,0,1,1,1,1,0,0,2,IntRefSeqVer
313,2,0,1,2,1,1,2,1,SenRefGloVis
314,1,0,0,2,1,1,1,0,SenRefSeqVis
315,0,0,2,1,0,1,0,1,SenAtiGloVer
316,1,1,0,2,1,0,1,1,IntRefSeqVer
317,1,0,1,3,0,1,1,1,SenRefGloVer
318,0,1,2,1,1,0,0,1,IntAtiSeqVer
319,1,0,0,1,0,0,1,0,SenRefGloVis
320,0,1,0,4,1,0,2,1,IntRefSeqVis
321,0,1,4,0,1,1,1,1,IntAtiGloVer
322,1,0,1,3,2,0,1,0,SenRefSeqVis
323,1,1,3,2,0,1,0,0,IntAtiGloVer
324,0,1,0,4,1,0,2,1,IntRefSeqVis
325,2,0,4,1,1,1,0,1,SenAtiGloVer
326,1,1,2,1,0,1,0,0,SenAtiGloVis
327,1,1,1,3,0,1,2,1,IntRefGloVis
328,0,0,4,1,1,0,0,0,IntAtiSeqVer
329,2,0,3,2,1,1,2,0,SenAtiSeqVis
330,1,1,4,1,1,1,2,0,IntAtiGloVis
331,0,0,2,2,0,0,1,1,SenAtiSeqVis
332,0,1,2,4,1,0,0,1,IntRefSeqVer
333,1,0,2,3,0,1,1,1,SenRefGloVis
334,1,1,4,0,0,0,2,0,IntAtiGloVis
335,1,1,4,1,0,0,0,0,SenAtiSeqVis
336,0,1,0,1,1,0,1,0,IntRefSeqVis
337,2,0,0,4,0,1,2,1,SenRefGloVis
338,2,0,1,2,1,1,2,0,SenRefGloVis
339,2,0,3,2,1,0,1,1,SenAtiSeqVer
340,1,1,4,1,2,0,0,2,IntAtiSeqVer
341,1,1,4,0,1,1,2,1,SenAtiSeqVis
342,1,1,4,2,1,1,2,0,IntAtiGloVis
343,2,0,4,0,1,0,0,1,SenAtiSeqVer
344,2,0,1,0,0,1,2,1,SenAtiGloVis
345,1,1,4,0,0,0,2,0,SenAtiSeqVis
346,1,1,1,3,1,1,2,1,IntRefGloVis
347,1,0,4,2,2,0,0,0,SenAtiSeqVis
348,0,0,3,1,0,1,2,0,IntAtiGloVis
349,1,1,3,1,2,0,0,2,SenAtiSeqVer
350,0,0,4,2,0,1,1,2,IntAtiGloVer
351,0,1,4,2,1,0,1,1,IntAtiSeqVis
352,0,1,4,0,1,1,1,1,IntAtiSeqVis
353,1,1,0,3,0,0,2,1,SenRefSeqVis
354,1,0,0,1,2,0,1,0,SenRefSeqVis
355,2,0,1,4,0,1,2,0,SenRefGloVis
356,1,0,4,1,0,0,0,2,SenAtiGloVer
357,1,1,2,4,0,0,1,1,SenRefSeqVis
358,0,0,1,0,0,1,1,0,SenAtiGloVis
359,0,1,1,3,1,1,1,1,IntRefSeqVis
360,0,1,4,2,0,1,0,1,IntAtiGloVer
361,0,1,4,1,0,1,2,0,IntAtiGloVis
362,1,1,4,0,0,0,1,0,IntAtiGloVis
363,0,1,4,2,0,0,0,1,IntAtiSeqVer
364,2,0,0,1,0,1,2,0,SenRefGloVis
365,1,1,1,3,2,0,0,2,IntRefSeqVer
366,1,1,0,0,1,0,1,1,SenAtiSeqVis
367,2,0,1,3,0,0,0,1,SenRefGloVer
368,2,0,3,1,1,0,2,1,SenAtiSeqVis
369,0,0,3,2,2,0,0,0,SenAtiSeqVis
370,1,0,3,2,1,1,2,1,SenAtiGloVis
371,1,1,2,0,0,0,2,1,IntAtiGloVis
372,1,1,3,2,0,1,0,0,IntAtiGloVer
373,1,0,4,1,1,1,2,1,SenAtiGloVis
374,0,0,2,4,0,1,1,0,SenRefGloVis
375,0,1,0,1,0,0,0,2,IntRefSeqVer
376,1,1,3,0,0,0,1,1,IntAtiGloVer
377,1,1,4,1,1,0,0,1,IntAtiSeqVer
378,1,1,0,2,0,0,2,1,SenRefSeqVis
379,0,1,3,2,0,1,2,0,IntAtiGloVis
380,1,1,3,2,0,1,0,2,SenAtiGloVer
381,0,0,1,2,1,1,2,0,IntRefGloVis
382,1,1,1,1,1,1,0,0,IntRefGloVer
383,1,1,2,1,0,1,1,0,SenAtiGloVis
384,0,0,2,1,2,0,0,2,SenAtiSeqVer
385,0,0,0,1,0,1,2,0,SenRefGloVis
386,0,0,2,0,1,1,2,0,IntAtiGloVis
387,1,0,2,1,0,0,1,0,SenAtiSeqVis
388,0,1,3,1,0,0,1,1,IntAtiSeqVis
389,0,0,3,2,1,1,2,0,SenAtiSeqVis
390,0,1,1,2,0,1,1,0,IntRefGloVis
391,1,0,0,3,0,1,0,1,SenRefGloVer
392,0,1,4,0,0,1,2,1,IntAtiGloVis
393,1,0,0,1,1,1,1,0,SenRefGloVis
394,0,1,0,0,0,1,1,1,IntAtiGloVis
395,1,1,4,0,0,1,2,0,SenAtiGloVis
396,2,0,2,4,0,1,1,1,SenRefGloVer
397,0,1,4,0,0,0,0,2,IntAtiGloVer
398,2,0,0,2,2,0,2,0,SenRefSeqVis
399,1,1,3,1,2,0,0,0,IntAtiSeqVer
400,1,1,1,4,0,0,1,1,IntRefGloVer
401,0,0,1,4,1,1,2,1,SenRefSeqVis
402,0,1,3,3,2,0,0,1,IntRefSeqVer
403,0,0,2,4,1,0,2,1,IntRefSeqVis
404,0,0,2,1,1,1,1,2,IntAtiGloVer
405,1,1,0,3,0,0,2,0,IntRefGloVis
406,0,0,0,3,1,1,2,0,SenRefSeqVis
407,0,0,1,0,0,1,1,0,IntAtiGloVis
408,1,0,3,1,2,0,2,0,SenAtiSeqVis
409,1,0,2,2,1,0,2,0,SenAtiSeqVis
410,0,0,4,1,1,1,0,1,SenAtiSeqVer
411,0,1,4,2,0,0,1,2,IntAtiGloVer
412,0,0,2,2,1,1,0,2,SenAtiSeqVer
413,1,1,3,1,0,1,0,0,IntAtiGloVer
414,0,1,1,0,1,1,1,1,IntAtiSeqVis
415,1,1,2,3,1,1,0,2,SenRefSeqVer
416,1,1,1,4,0,0,1,0,IntRefGloVis
417,0,1,4,1,0,1,0,0,IntAtiGloVis
418,1,0,1,1,1,1,2,1,SenAtiSeqVis
419,2,0,0,0,0,1,1,2,SenAtiGloVer
420,0,1,1,2,1,1,1,1,IntRefSeqVis
421,0,0,2,4,2,0,0,0,SenRefSeqVis
422,0,1,2,1,0,0,1,1,IntAtiGloVer
423,0,0,2,2,2,0,1,0,IntRefSeqVis
424,2,0,3,0,0,1,1,2,SenAtiGloVer
425,1,1,1,0,2,0,2,1,IntAtiSeqVis
426,0,1,3,2,1,0,0,1,IntAtiSeqVer
427,1,1,3,3,0,1,2,1,IntRefGloVis
428,1,1,0,1,2,0,2,0,IntRefSeqVis
429,1,0,2,3,0,0,0,1,SenRefSeqVer
430,0,0,0,0,1,1,1,0,IntRefGloVis
431,0,1,1,3,0,1,1,0,IntRefGloVis
432,1,1,1,2,1,1,2,1,IntRefGloVis
433,1,0,4,0,0,1,1,0,SenAtiGloVis
434,1,0,0,4,0,0,1,2,SenRefSeqVer
435,0,0,1,4,0,0,0,0,IntRefGloVer
436,1,0,0,2,1,0,1,1,SenRefSeqVer
437,0,1,4,1,0,0,0,0,IntAtiGloVer
438,1,0,0,3,1,1,0,2,SenRefGloVer
439,0,1,1,2,2,0,1,1,IntRefSeqVer
440,2,0,4,2,0,1,1,0,SenAtiGloVis
441,1,1,1,0,2,0,2,1,SenAtiSeqVis
442,2,0,2,0,2,0,2,0,SenAtiSeqVis
443,2,0,3,2,1,1,1,1,SenAtiSeqVis
444,0,0,0,2,2,0,2,1,IntRefSeqVis
445,2,0,3,2,2,0,1,1,SenAtiSeqVis
446,1,1,0,3,0,0,0,2,IntRefGloVer
447,0,0,4,2,1,0,1,0,IntAtiSeqVis
448,2,0,1,2,0,0,0,0,SenRefSeqVis
449,1,1,1,0,0,1,2,1,IntAtiGloVis
450,0,0,0,4,1,0,2,0,IntRefSeqVis
451,1,0,1,3,2,0,0,1,SenRefSeqVer
452,1,1,4,2,1,1,2,0,SenAtiSeqVis
453,0,0,1,4,1,1,2,1,IntRefGloVis
454,2,0,2,4,0,0,0,1,SenRefGloVer
455,0,1,0,1,0,1,1,0,IntRefGloVis
456,1,1,4,1,2,0,0,0,IntAtiSeqVer
457,2,0,3,1,0,1,0,2,SenAtiGloVer
458,1,1,2,1,2,0,0,1,SenAtiSeqVer
459,0,1,0,0,0,0,1,2,IntAtiSeqVer
460,1,1,3,2,2,0,0,0,SenAtiSeqVis
461,1,1,4,0,0,0,1,2,IntAtiGloVer
462,1,1,2,4,1,0,0,0,IntRefSeqVer
463,0,1,0,2,1,1,1,1,IntRefSeqVis
464,1,1,4,2,2,0,0,1,IntAtiSeqVer
465,1,1,1,3,0,1,2,0,IntRefGloVis
466,1,0,0,0,0,0,2,1,SenRefGloVis
467,0,0,2,3,2,0,2,0,SenRefSeqVis
468,0,0,1,3,2,0,2,0,SenRefSeqVis
469,1,0,0,0,1,1,1,2,SenRefGloVer
470,0,1,2,4,1,1,1,0,IntRefSeqVis
471,1,0,0,3,1,0,2,1,SenRefSeqVis
472,1,0,0,4,0,1,0,1,SenRefGloVer
473,1,1,0,2,2,0,2,0,SenRefSeqVis
474,1,1,2,1,2,0,0,2,SenAtiSeqVer
475,1,0,2,1,0,1,0,1,SenAtiGloVer
476,1,1,3,2,0,1,2,1,SenAtiGloVis
477,0,1,1,1,0,0,1,2,IntAtiSeqVer
478,1,0,0,3,2,0,2,1,SenRefSeqVis
